sample_id,sentence,human_mean,ensemble_mean,abs_err,n_annotators,model_vote_std
s10_all,The seller recommended the model.,5.875,6.25,0.375,8,0.7708992893275454
s10_animate,The seller recommended the dress.,6.275,6.7625,0.4874999999999998,8,0.38428969727091494
s10_global,The seller recommended the designer.,5.9024,4.80625,1.0961499999999997,8,0.7257692962839991
s10_name,The seller recommended Pierre.,4.75,4.8125,0.0625,8,1.2284572206052364
s10_plural,The seller recommended the designers.,5.6,4.425,1.1749999999999998,8,0.6729466121893645
s1_all,The nurse fetched the patient.,6.2683,5.8375,0.4307999999999996,8,0.9807977802351949
s1_animate,The nurse fetched the file.,6.225,5.86875,0.3562499999999993,8,0.7787065741159687
s1_global,The nurse fetched the intern.,5.1,5.30625,0.2062500000000007,8,0.3802607188307967
s1_name,The nurse fetched Matt.,4.9,5.28125,0.38124999999999964,8,0.6600527576316478
s1_plural,The nurse fetched the interns.,5.45,5.5375,0.08749999999999947,8,0.4525720147903851
s2_all,The waiter watched the critic.,5.125,5.60625,0.4812500000000002,8,0.6868340930884047
s2_animate,The waiter watched the cake.,3.675,3.4,0.2749999999999999,8,0.5775564289066727
s2_global,The waiter watched the chef.,5.95,5.9,0.04999999999999982,8,0.4000000000000001
s2_name,The waiter watched Louis.,5.6585,5.09375,0.5647500000000001,8,0.5467027790046696
s2_plural,The waiter watched the chefs.,5.725,5.825,0.10000000000000053,8,0.3625307868699863
s3_all,The art dealer brought the buyer.,3.325,5.81875,2.4937499999999995,8,0.6335486789280115
s3_animate,The art dealer brought the portrait.,5.6,6.80625,1.2062500000000007,8,0.3310562101603205
s3_global,The art dealer brought the artist.,3.3,5.7,2.4000000000000004,8,0.6307591797644667
s3_name,The art dealer brought Ethan.,3.35,4.01875,0.6687499999999997,8,0.6082395557203241
s3_plural,The art dealer brought the artists.,3.8537,5.65,1.7963000000000005,8,0.4598136268408881
s4_all,The dean observed the scientist.,4.125,5.16875,1.0437500000000002,8,0.5768990379607164
s4_animate,The dean observed the result.,5.2195,5.54375,0.32425000000000015,8,0.3353436403793236
s4_global,The dean observed the student.,5.95,5.95625,0.006249999999999645,8,0.5640652824426822
s4_name,The dean observed Tony.,5.375,5.325,0.04999999999999982,8,0.44960299948160626
s4_plural,The dean observed the students.,6.375,6.49375,0.11875000000000036,8,0.3629615288547416
s5_all,The owner payed for the worker.,4.175,4.60625,0.43125000000000036,8,1.2801890206416506
s5_animate,The owner payed for the tractor.,4.65,6.11875,1.46875,8,0.7040380975892874
s5_global,The owner payed for the farmer.,2.7561,3.025,0.2688999999999999,8,1.186832519175064
s5_name,The owner payed for Joe.,3.65,4.075,0.42500000000000027,8,1.5322718893385545
s5_plural,The owner payed for the farmers.,3.35,3.7062500000000003,0.3562500000000002,8,1.5985344850831338
s6_all,The judge needed the witness.,5.8049,6.6625,0.8575999999999997,8,0.43732139211339754
s6_animate,The judge needed the camera.,3.825,3.5875,0.23750000000000027,8,0.7605214376615935
s6_global,The judge needed the lawyer.,5.1,6.39375,1.2937500000000002,8,0.7213269023126754
s6_name,The judge needed Joel.,3.475,4.34375,0.8687499999999999,8,0.7208316129899649
s6_plural,The judge needed the lawyers.,6.125,6.66875,0.5437500000000002,8,0.46054121887808724
s7_all,The audience liked the actor.,6.625,6.95,0.3250000000000002,8,0.14142135623730964
s7_animate,The audience liked the newspaper.,4.55,3.05625,1.49375,8,0.7218218517849717
s7_global,The audience liked the reviewer.,4.075,4.8625,0.7874999999999996,8,0.44940436770717496
s7_name,The audience liked Tom.,6.3171,6.7125,0.3954000000000004,8,0.41209395599963433
s7_plural,The audience liked the reviewers.,3.95,4.0,0.04999999999999982,8,0.8370867850553404
s8_all,The neighbour heard the child.,6.55,6.56875,0.018749999999999822,8,0.3673627051605228
s8_animate,The neighbour heard the alarm.,6.65,6.84375,0.19374999999999964,8,0.34788904224520456
s8_global,The neighbour heard the parent.,5.575,4.9375,0.6375000000000002,8,0.6162965427222746
s8_name,The neighbour heard Anna.,6.075,6.06875,0.006250000000000533,8,0.40790186144638835
s8_plural,The neighbour heard the parents.,5.2927,5.7125,0.4198000000000004,8,0.35931482415444926
s9_all,The guide observed the visitor.,6.025,6.4375,0.41249999999999964,8,0.49551560448255744
s9_animate,The guide observed the painting.,5.561,6.31875,0.7577499999999997,8,0.41912962536325543
s9_global,The guide observed the sculptor.,4.95,4.95625,0.006249999999999645,8,0.8853721977628553
s9_name,The guide ovserved Claude.,5.125,4.25625,0.8687500000000004,8,1.3573707515424285
s9_plural,The guide observed the sculptors.,4.525,5.6125,1.0874999999999995,8,0.5403371963082736
